epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1189.84,1.69341,2.52207,1.08664,0.82835,0.53949,0.57236,0.31917,1.56105,2.08745,1.05023,0.00332737,0.00332737,0.00332737
2,2822.08,1.60622,1.46059,1.03801,0.7795,0.54599,0.59417,0.3363,1.56817,1.52097,1.04522,0.00662773,0.00662773,0.00662773
3,3750.96,1.63489,1.16184,1.04971,0.84608,0.58047,0.64933,0.3601,1.58032,1.10797,1.0668,0.0098951,0.0098951,0.0098951
4,4181.53,1.61333,0.99709,1.05158,0.82831,0.58948,0.65222,0.36345,1.54911,1.00679,1.07145,0.0098515,0.0098515,0.0098515
5,4737.43,1.57101,0.91009,1.04619,0.8859,0.57501,0.6887,0.38863,1.54156,0.91179,1.06537,0.009802,0.009802,0.009802
6,6170.09,1.53229,0.8555,1.03593,0.77256,0.64466,0.71438,0.3965,1.52703,0.88268,1.06338,0.0097525,0.0097525,0.0097525
7,6852.59,1.50966,0.83573,1.03366,0.77726,0.71266,0.74194,0.41741,1.47778,0.8222,1.04902,0.009703,0.009703,0.009703
8,8549.24,1.48379,0.81053,1.02695,0.81993,0.71156,0.74823,0.41956,1.50027,0.80327,1.05674,0.0096535,0.0096535,0.0096535
9,8780.34,1.46608,0.79286,1.02086,0.801,0.72379,0.75549,0.43117,1.46784,0.78978,1.04754,0.009604,0.009604,0.009604
10,9007.39,1.45573,0.77618,1.0189,0.81567,0.69331,0.74977,0.43997,1.46539,0.78206,1.04157,0.0095545,0.0095545,0.0095545
11,9234.77,1.44432,0.76781,1.01512,0.8251,0.68957,0.75883,0.44172,1.42481,0.76051,1.04207,0.009505,0.009505,0.009505
12,10121.2,1.43255,0.75775,1.01067,0.82917,0.68688,0.75141,0.4435,1.42129,0.77571,1.03596,0.0094555,0.0094555,0.0094555
13,10949.2,1.41407,0.74327,1.00727,0.85015,0.71985,0.76776,0.45246,1.43971,0.74825,1.03328,0.009406,0.009406,0.009406
14,11271.5,1.3994,0.73466,1.00575,0.82917,0.72477,0.77678,0.44886,1.45518,0.74506,1.05147,0.0093565,0.0093565,0.0093565
15,12713.8,1.39345,0.72525,1.00067,0.83524,0.71853,0.7681,0.45299,1.4103,0.72909,1.04165,0.009307,0.009307,0.009307
16,12946.7,1.38389,0.71723,1.00242,0.86098,0.72918,0.77676,0.45866,1.41163,0.71522,1.0331,0.0092575,0.0092575,0.0092575
17,13162.5,1.3774,0.71217,0.99675,0.84382,0.74081,0.78564,0.46185,1.40146,0.725,1.03519,0.009208,0.009208,0.009208
18,13378.1,1.36735,0.70297,0.99781,0.8524,0.72218,0.77901,0.4621,1.40419,0.71611,1.0295,0.0091585,0.0091585,0.0091585
19,13593.7,1.35904,0.70039,0.99723,0.83856,0.7406,0.78319,0.46469,1.40642,0.69939,1.03067,0.009109,0.009109,0.009109
20,13812.6,1.35448,0.69762,0.9955,0.85897,0.72454,0.77958,0.46089,1.39637,0.7058,1.0278,0.0090595,0.0090595,0.0090595
21,14043.6,1.34664,0.68567,0.98817,0.83288,0.73469,0.77028,0.46195,1.38431,0.69862,1.02041,0.00901,0.00901,0.00901
22,14599.6,1.34761,0.68267,0.99084,0.82178,0.72094,0.7681,0.46183,1.40306,0.69859,1.03293,0.0089605,0.0089605,0.0089605
23,15218.7,1.34085,0.68123,0.99213,0.85035,0.73727,0.78228,0.46217,1.38655,0.68652,1.02813,0.008911,0.008911,0.008911
24,15525.8,1.32972,0.67451,0.98684,0.84153,0.74583,0.78315,0.47273,1.38052,0.67705,1.02272,0.0088615,0.0088615,0.0088615
25,15846,1.33232,0.67828,0.98496,0.86484,0.71719,0.76481,0.46421,1.3629,0.67384,1.01744,0.008812,0.008812,0.008812
26,16675.8,1.32634,0.67097,0.9839,0.86063,0.7257,0.77552,0.46413,1.37759,0.67402,1.02514,0.0087625,0.0087625,0.0087625
27,16895.1,1.32129,0.66973,0.98467,0.86581,0.7333,0.78386,0.47451,1.34883,0.67053,1.01353,0.008713,0.008713,0.008713
28,17113.8,1.32025,0.66701,0.985,0.88829,0.7132,0.78583,0.469,1.37631,0.6729,1.02176,0.0086635,0.0086635,0.0086635
29,17581.8,1.3085,0.66045,0.97918,0.87131,0.72415,0.78355,0.47587,1.36937,0.67918,1.02775,0.008614,0.008614,0.008614
30,17953.3,1.31305,0.65643,0.98291,0.85814,0.73794,0.78602,0.47974,1.35308,0.65641,1.01712,0.0085645,0.0085645,0.0085645
31,18173.8,1.30952,0.65842,0.98187,0.8339,0.77093,0.80719,0.48926,1.35236,0.65433,1.01947,0.008515,0.008515,0.008515
32,18417.7,1.29992,0.65246,0.98049,0.87236,0.73084,0.793,0.47834,1.36558,0.65689,1.02077,0.0084655,0.0084655,0.0084655
33,18636.1,1.29835,0.64636,0.9753,0.83568,0.74998,0.79148,0.47595,1.34313,0.65446,1.01602,0.008416,0.008416,0.008416
34,18857,1.29391,0.64778,0.97606,0.84856,0.73027,0.78612,0.47558,1.3648,0.66246,1.01926,0.0083665,0.0083665,0.0083665
35,19075.2,1.28896,0.64455,0.97665,0.84887,0.74675,0.7896,0.48365,1.33753,0.6518,1.02194,0.008317,0.008317,0.008317
