epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,273.629,1.67413,2.47827,1.03843,0.82912,0.51949,0.5706,0.32185,1.56919,1.92393,1.03043,0.00332737,0.00332737,0.00332737
2,527.663,1.58823,1.36974,1.00962,0.86993,0.56522,0.64001,0.36778,1.50776,1.30572,1.00633,0.00662773,0.00662773,0.00662773
3,760.683,1.60972,1.10629,1.01647,0.8288,0.56503,0.64323,0.3576,1.55546,1.12923,1.02935,0.0098951,0.0098951,0.0098951
4,992.06,1.59597,0.96744,1.01469,0.8117,0.59665,0.67213,0.38272,1.52929,1.00673,1.02971,0.0098515,0.0098515,0.0098515
5,1224.81,1.54796,0.88905,1.00898,0.81909,0.63571,0.70009,0.40363,1.50043,0.88097,1.01162,0.009802,0.009802,0.009802
6,1492.01,1.51043,0.83442,0.99682,0.8779,0.64244,0.72519,0.41243,1.49596,0.8447,1.01865,0.0097525,0.0097525,0.0097525
7,1725.92,1.48765,0.81894,0.99403,0.84991,0.65968,0.73654,0.42875,1.46393,0.80076,1.02305,0.009703,0.009703,0.009703
8,1959.82,1.46485,0.79459,0.9894,0.78969,0.6738,0.71735,0.41722,1.48328,0.83614,1.00912,0.0096535,0.0096535,0.0096535
9,2212.21,1.45056,0.7811,0.98173,0.78694,0.69155,0.7433,0.42173,1.46784,0.81558,1.00206,0.009604,0.009604,0.009604
10,2445.04,1.44103,0.76395,0.98018,0.87073,0.68042,0.75835,0.44495,1.4346,0.75474,1.00587,0.0095545,0.0095545,0.0095545
11,2681.45,1.42671,0.75716,0.97717,0.82867,0.71857,0.77035,0.45061,1.41265,0.73748,1.00892,0.009505,0.009505,0.009505
12,3122.07,1.41355,0.74633,0.97315,0.85469,0.68235,0.76572,0.45126,1.40933,0.76599,0.99513,0.0094555,0.0094555,0.0094555
13,3528.16,1.39565,0.73444,0.96918,0.84386,0.70518,0.77384,0.45744,1.42491,0.74331,1.00275,0.009406,0.009406,0.009406
14,3900.31,1.38148,0.72278,0.96664,0.82932,0.71678,0.7766,0.45628,1.41719,0.73956,1.00366,0.0093565,0.0093565,0.0093565
15,4133.26,1.37666,0.71431,0.96169,0.86099,0.71063,0.77846,0.46282,1.40345,0.70991,0.99431,0.009307,0.009307,0.009307
16,4366.27,1.3691,0.70735,0.96329,0.85728,0.69231,0.76327,0.45719,1.40105,0.71547,0.99415,0.0092575,0.0092575,0.0092575
17,4597.5,1.35917,0.70098,0.95895,0.83948,0.74462,0.78695,0.4639,1.41657,0.71469,1.00409,0.009208,0.009208,0.009208
18,4871.48,1.34913,0.69302,0.95886,0.8445,0.71339,0.78166,0.46253,1.40456,0.73175,0.99976,0.0091585,0.0091585,0.0091585
19,5101.56,1.33964,0.69345,0.95744,0.83839,0.74093,0.78394,0.47359,1.38536,0.69506,0.99393,0.009109,0.009109,0.009109
20,5346.89,1.33644,0.68808,0.95641,0.83501,0.7145,0.7752,0.46068,1.39616,0.70806,0.99238,0.0090595,0.0090595,0.0090595
