epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.965,1.70242,2.55131,1.08873,0.81692,0.53313,0.55439,0.32435,1.53411,2.10407,1.04184,0.00332737,0.00332737,0.00332737
2,593.655,1.61767,1.48729,1.03984,0.75294,0.48724,0.54285,0.30829,1.60031,1.61527,1.05631,0.00662773,0.00662773,0.00662773
3,953.975,1.64741,1.18348,1.05099,0.83395,0.52664,0.60291,0.32734,1.60853,1.20096,1.07046,0.0098951,0.0098951,0.0098951
4,1185.31,1.63628,1.01932,1.05667,0.859,0.58391,0.65181,0.37065,1.51717,0.98588,1.06184,0.0098515,0.0098515,0.0098515
5,1428.89,1.58322,0.92851,1.05004,0.85302,0.56892,0.6637,0.38097,1.55689,0.9447,1.0687,0.009802,0.009802,0.009802
6,1662.24,1.54737,0.87159,1.03933,0.76993,0.66174,0.70849,0.39975,1.52601,0.8647,1.06783,0.0097525,0.0097525,0.0097525
7,1896.54,1.51848,0.84992,1.03557,0.76293,0.68113,0.71377,0.39913,1.50534,0.87241,1.05705,0.009703,0.009703,0.009703
8,2130.58,1.49643,0.82217,1.02985,0.78601,0.67122,0.72208,0.4071,1.50929,0.85152,1.05502,0.0096535,0.0096535,0.0096535
9,2362.14,1.47995,0.8066,1.02357,0.77741,0.68987,0.73227,0.40953,1.49083,0.82662,1.05881,0.009604,0.009604,0.009604
10,2594.63,1.47148,0.79048,1.0241,0.81616,0.70743,0.76848,0.44188,1.44898,0.77764,1.04011,0.0095545,0.0095545,0.0095545
11,2826.74,1.45584,0.77958,1.01728,0.81254,0.70577,0.74965,0.44155,1.43147,0.78888,1.04657,0.009505,0.009505,0.009505
12,3059.49,1.448,0.76899,1.01539,0.80708,0.67423,0.73187,0.42578,1.42816,0.76891,1.03641,0.0094555,0.0094555,0.0094555
13,3302.53,1.42623,0.75566,1.0105,0.82748,0.72269,0.76216,0.4413,1.43762,0.74738,1.03224,0.009406,0.009406,0.009406
14,3537.95,1.4095,0.74479,1.01012,0.82648,0.72279,0.75943,0.43591,1.44772,0.74013,1.05479,0.0093565,0.0093565,0.0093565
15,3770.35,1.40714,0.73618,1.00334,0.82551,0.71565,0.75961,0.44817,1.41698,0.72777,1.04283,0.009307,0.009307,0.009307
16,4138.67,1.39831,0.72742,1.00577,0.81935,0.72606,0.7771,0.45589,1.399,0.73074,1.02984,0.0092575,0.0092575,0.0092575
17,4369.98,1.38662,0.7217,0.99915,0.84232,0.72679,0.77642,0.45698,1.41177,0.72908,1.03875,0.009208,0.009208,0.009208
18,4602.61,1.37823,0.71351,1.00005,0.82885,0.74262,0.78885,0.45914,1.40283,0.71889,1.03081,0.0091585,0.0091585,0.0091585
19,4834.98,1.37153,0.71309,0.99881,0.84985,0.74189,0.78583,0.46141,1.40328,0.71998,1.03071,0.009109,0.009109,0.009109
20,5067.28,1.36627,0.7102,0.99755,0.83206,0.72701,0.77815,0.46107,1.4009,0.70348,1.03143,0.0090595,0.0090595,0.0090595
21,5308.73,1.36056,0.69576,0.99353,0.84307,0.73456,0.78329,0.45878,1.4036,0.70291,1.03312,0.00901,0.00901,0.00901
22,5545.71,1.35973,0.6936,0.99459,0.84459,0.74637,0.7947,0.46837,1.41275,0.69028,1.03252,0.0089605,0.0089605,0.0089605
23,5780.35,1.35314,0.69095,0.99355,0.82608,0.73435,0.77573,0.46796,1.38583,0.70225,1.0263,0.008911,0.008911,0.008911
24,6020.23,1.34015,0.68281,0.98823,0.83864,0.726,0.77837,0.47057,1.38171,0.67912,1.0205,0.0088615,0.0088615,0.0088615
25,6253.53,1.34276,0.68539,0.98771,0.84362,0.73594,0.77503,0.4685,1.37403,0.69119,1.02066,0.008812,0.008812,0.008812
26,6486.51,1.337,0.68039,0.98481,0.85651,0.72494,0.78203,0.46988,1.3547,0.67561,1.01794,0.0087625,0.0087625,0.0087625
27,6719.97,1.33027,0.67557,0.98606,0.79268,0.73,0.76549,0.46061,1.36912,0.69802,1.01846,0.008713,0.008713,0.008713
28,6953.56,1.32991,0.67583,0.9862,0.8142,0.7416,0.78295,0.47023,1.36574,0.67524,1.02311,0.0086635,0.0086635,0.0086635
29,7184.61,1.3213,0.66887,0.98238,0.84611,0.75718,0.8034,0.482,1.37076,0.66832,1.03043,0.008614,0.008614,0.008614
30,7418.53,1.32349,0.66447,0.98429,0.84201,0.76242,0.80436,0.47971,1.36309,0.66282,1.02096,0.0085645,0.0085645,0.0085645
31,7658.89,1.31964,0.66628,0.98346,0.84604,0.75441,0.79843,0.48306,1.37253,0.6796,1.02483,0.008515,0.008515,0.008515
32,7946.57,1.31261,0.66262,0.98264,0.86236,0.73726,0.79018,0.47567,1.36467,0.66688,1.01462,0.0084655,0.0084655,0.0084655
33,8239.19,1.30852,0.65364,0.97852,0.85882,0.74137,0.79852,0.47681,1.36567,0.65796,1.01682,0.008416,0.008416,0.008416
34,8477.59,1.30639,0.65599,0.97732,0.82226,0.75372,0.79571,0.48014,1.35633,0.66402,1.01655,0.0083665,0.0083665,0.0083665
35,8709.15,1.30075,0.65223,0.9785,0.84672,0.75694,0.8006,0.48623,1.33932,0.65996,1.02079,0.008317,0.008317,0.008317
36,8941.04,1.29413,0.64481,0.9747,0.83887,0.74062,0.79056,0.47386,1.36582,0.66199,1.02233,0.0082675,0.0082675,0.0082675
37,9174.25,1.28702,0.63989,0.97362,0.83882,0.7571,0.79868,0.4849,1.35822,0.65143,1.01998,0.008218,0.008218,0.008218
38,9406.94,1.28607,0.64585,0.97208,0.85529,0.75696,0.80473,0.48243,1.34552,0.6509,1.01135,0.0081685,0.0081685,0.0081685
39,9639.13,1.27849,0.63903,0.97248,0.83859,0.75238,0.79901,0.48094,1.35203,0.64934,1.01661,0.008119,0.008119,0.008119
